"first_name","name_length","name_category"
"Elaine",6,"Long"
"Marjorie",8,"Long"
"Carrie",6,"Long"
"Charlotte",9,"Long"
"Monica",6,"Long"
"Esther",6,"Long"
"Pauline",7,"Long"
"Emma",4,"Short"
"Juanita",7,"Long"
"Anita",5,"Long"
"Rhonda",6,"Long"
"Hazel",5,"Long"
"Amber",5,"Long"
"Eva",3,"Short"
"Debbie",6,"Long"
"April",5,"Long"
"Leslie",6,"Long"
"Clara",5,"Long"
"Lucille",7,"Long"
"Jamie",5,"Long"
"Joanne",6,"Long"
"Eleanor",7,"Long"
"Valerie",7,"Long"
"Danielle",8,"Long"
"Megan",5,"Long"
"Alicia",6,"Long"
"Suzanne",7,"Long"
"Michele",7,"Long"
"Gail",4,"Short"
"Bertha",6,"Long"
"Darlene",7,"Long"
"Veronica",8,"Long"
"Jill",4,"Short"
"Erin",4,"Short"
"Geraldine",9,"Long"
"Lauren",6,"Long"
"Cathy",5,"Long"
"Joann",5,"Long"
"Lorraine",8,"Long"
"Lynn",4,"Short"
"Sally",5,"Long"
"Regina",6,"Long"
"Erica",5,"Long"
"Beatrice",8,"Long"
"Dolores",7,"Long"
"Bernice",7,"Long"
"Audrey",6,"Long"
"Yvonne",6,"Long"
"Annette",7,"Long"
"June",4,"Short"
"Samantha",8,"Long"
"Marion",6,"Long"
"Dana",4,"Short"
"Stacy",5,"Long"
"Ana",3,"Short"
"Renee",5,"Long"
"Ida",3,"Short"
"Vivian",6,"Long"
"Roberta",7,"Long"
"Holly",5,"Long"
"Brittany",8,"Long"
"Melanie",7,"Long"
"Loretta",7,"Long"
"Yolanda",7,"Long"
"Jeanette",8,"Long"
"Laurie",6,"Long"
"Katie",5,"Long"
"Kristen",7,"Long"
"Vanessa",7,"Long"
"Alma",4,"Short"
"Sue",3,"Short"
"Elsie",5,"Long"
"Beth",4,"Short"
"Jeanne",6,"Long"
"Vicki",5,"Long"
"Carla",5,"Long"
"Tara",4,"Short"
"Rosemary",8,"Long"
"Eileen",6,"Long"
"Terri",5,"Long"
"Gertrude",8,"Long"
"Lucy",4,"Short"
"Tonya",5,"Long"
"Ella",4,"Short"
"Stacey",6,"Long"
"Wilma",5,"Long"
"Gina",4,"Short"
"Kristin",7,"Long"
"Jessie",6,"Long"
"Natalie",7,"Long"
"Agnes",5,"Long"
"Vera",4,"Short"
"Willie",6,"Long"
"Charlene",8,"Long"
"Bessie",6,"Long"
"Delores",7,"Long"
"Melinda",7,"Long"
"Pearl",5,"Long"
"Arlene",6,"Long"
"Maureen",7,"Long"
"Colleen",7,"Long"
"Allison",7,"Long"
"Tamara",6,"Long"
"Joy",3,"Short"
"Georgia",7,"Long"
"Constance",9,"Long"
"Lillie",6,"Long"
"Claudia",7,"Long"
"Jackie",6,"Long"
"Marcia",6,"Long"
"Tanya",5,"Long"
"Nellie",6,"Long"
"Minnie",6,"Long"
"Marlene",7,"Long"
"Heidi",5,"Long"
"Glenda",6,"Long"
"Lydia",5,"Long"
"Viola",5,"Long"
"Courtney",8,"Long"
"Marian",6,"Long"
"Stella",6,"Long"
"Caroline",8,"Long"
"Dora",4,"Short"
"Jo",2,"Short"
"Vickie",6,"Long"
"Mattie",6,"Long"
"Terry",5,"Long"
"Maxine",6,"Long"
"Irma",4,"Short"
"Mabel",5,"Long"
"Marsha",6,"Long"
"Myrtle",6,"Long"
"Lena",4,"Short"
"Christy",7,"Long"
"Deanna",6,"Long"
"Patsy",5,"Long"
"Hilda",5,"Long"
"Gwendolyn",9,"Long"
"Jennie",6,"Long"
"Nora",4,"Short"
"Margie",6,"Long"
"Nina",4,"Short"
"Cassandra",9,"Long"
"Leah",4,"Short"
"Penny",5,"Long"
"Kay",3,"Short"
"Priscilla",9,"Long"
"Naomi",5,"Long"
"Carole",6,"Long"
"Brandy",6,"Long"
"Olga",4,"Short"
"Billie",6,"Long"
"Dianne",6,"Long"
"Tracey",6,"Long"
"Leona",5,"Long"
"Jenny",5,"Long"
"Felicia",7,"Long"
"Sonia",5,"Long"
"Miriam",6,"Long"
"Velma",5,"Long"
"Becky",5,"Long"
"Bobbie",6,"Long"
"Violet",6,"Long"
"Kristina",8,"Long"
"Toni",4,"Short"
"Misty",5,"Long"
"Mae",3,"Short"
"Shelly",6,"Long"
"Daisy",5,"Long"
"Ramona",6,"Long"
"Sherri",6,"Long"
"Erika",5,"Long"
"James",5,"Long"
"John",4,"Short"
"Robert",6,"Long"
"Michael",7,"Long"
"William",7,"Long"
"David",5,"Long"
"Richard",7,"Long"
"Charles",7,"Long"
"Joseph",6,"Long"
"Thomas",6,"Long"
"Christopher",11,"Long"
"Daniel",6,"Long"
"Paul",4,"Short"
"Mark",4,"Short"
"Donald",6,"Long"
"George",6,"Long"
"Kenneth",7,"Long"
"Steven",6,"Long"
"Edward",6,"Long"
"Brian",5,"Long"
"Ronald",6,"Long"
"Anthony",7,"Long"
"Kevin",5,"Long"
"Jason",5,"Long"
"Matthew",7,"Long"
"Gary",4,"Short"
"Timothy",7,"Long"
"Jose",4,"Short"
"Larry",5,"Long"
"Jeffrey",7,"Long"
"Frank",5,"Long"
"Scott",5,"Long"
"Eric",4,"Short"
"Stephen",7,"Long"
"Andrew",6,"Long"
"Raymond",7,"Long"
"Gregory",7,"Long"
"Joshua",6,"Long"
"Jerry",5,"Long"
"Dennis",6,"Long"
"Walter",6,"Long"
"Patrick",7,"Long"
"Peter",5,"Long"
"Harold",6,"Long"
"Douglas",7,"Long"
"Henry",5,"Long"
"Carl",4,"Short"
"Arthur",6,"Long"
"Ryan",4,"Short"
"Roger",5,"Long"
"Joe",3,"Short"
"Juan",4,"Short"
"Jack",4,"Short"
"Albert",6,"Long"
"Jonathan",8,"Long"
"Justin",6,"Long"
"Terry",5,"Long"
"Gerald",6,"Long"
"Keith",5,"Long"
"Samuel",6,"Long"
"Willie",6,"Long"
"Ralph",5,"Long"
"Lawrence",8,"Long"
"Nicholas",8,"Long"
"Roy",3,"Short"
"Benjamin",8,"Long"
"Bruce",5,"Long"
"Brandon",7,"Long"
"Adam",4,"Short"
"Harry",5,"Long"
"Fred",4,"Short"
"Wayne",5,"Long"
"Billy",5,"Long"
"Steve",5,"Long"
"Louis",5,"Long"
"Jeremy",6,"Long"
"Aaron",5,"Long"
"Randy",5,"Long"
"Howard",6,"Long"
"Eugene",6,"Long"
"Carlos",6,"Long"
"Russell",7,"Long"
"Bobby",5,"Long"
"Victor",6,"Long"
"Martin",6,"Long"
"Ernest",6,"Long"
"Phillip",7,"Long"
"Todd",4,"Short"
"Jesse",5,"Long"
"Craig",5,"Long"
"Alan",4,"Short"
"Shawn",5,"Long"
"Clarence",8,"Long"
"Sean",4,"Short"
"Philip",6,"Long"
"Chris",5,"Long"
"Johnny",6,"Long"
"Earl",4,"Short"
"Jimmy",5,"Long"
"Antonio",7,"Long"
"Danny",5,"Long"
"Bryan",5,"Long"
"Tony",4,"Short"
"Luis",4,"Short"
"Mike",4,"Short"
"Stanley",7,"Long"
"Leonard",7,"Long"
"Nathan",6,"Long"
"Dale",4,"Short"
"Manuel",6,"Long"
"Rodney",6,"Long"
"Curtis",6,"Long"
"Norman",6,"Long"
"Allen",5,"Long"
"Marvin",6,"Long"
"Vincent",7,"Long"
"Glenn",5,"Long"
"Jeffery",7,"Long"
"Travis",6,"Long"
"Jeff",4,"Short"
"Chad",4,"Short"
"Jacob",5,"Long"
"Lee",3,"Short"
"Melvin",6,"Long"
"Alfred",6,"Long"
"Kyle",4,"Short"
"Francis",7,"Long"
"Bradley",7,"Long"
"Jesus",5,"Long"
"Herbert",7,"Long"
"Frederick",9,"Long"
"Ray",3,"Short"
"Joel",4,"Short"
"Edwin",5,"Long"
"Don",3,"Short"
"Eddie",5,"Long"
"Ricky",5,"Long"
"Troy",4,"Short"
"Randall",7,"Long"
"Barry",5,"Long"
"Alexander",9,"Long"
"Bernard",7,"Long"
"Mario",5,"Long"
"Leroy",5,"Long"
"Francisco",9,"Long"
"Marcus",6,"Long"
"Micheal",7,"Long"
"Theodore",8,"Long"
"Clifford",8,"Long"
"Miguel",6,"Long"
"Oscar",5,"Long"
"Jay",3,"Short"
"Jim",3,"Short"
"Tom",3,"Short"
"Calvin",6,"Long"
"Alex",4,"Short"
"Jon",3,"Short"
"Ronnie",6,"Long"
"Bill",4,"Short"
"Lloyd",5,"Long"
"Tommy",5,"Long"
"Leon",4,"Short"
"Derek",5,"Long"
"Warren",6,"Long"
"Darrell",7,"Long"
"Jerome",6,"Long"
"Floyd",5,"Long"
"Leo",3,"Short"
"Alvin",5,"Long"
"Tim",3,"Short"
"Wesley",6,"Long"
"Gordon",6,"Long"
"Dean",4,"Short"
"Greg",4,"Short"
"Jorge",5,"Long"
"Dustin",6,"Long"
"Pedro",5,"Long"
"Derrick",7,"Long"
"Dan",3,"Short"
"Lewis",5,"Long"
"Zachary",7,"Long"
"Corey",5,"Long"
"Herman",6,"Long"
"Maurice",7,"Long"
"Vernon",6,"Long"
"Roberto",7,"Long"
"Clyde",5,"Long"
"Glen",4,"Short"
"Hector",6,"Long"
"Shane",5,"Long"
"Ricardo",7,"Long"
"Sam",3,"Short"
"Rick",4,"Short"
"Lester",6,"Long"
"Brent",5,"Long"
"Ramon",5,"Long"
"Charlie",7,"Long"
"Tyler",5,"Long"
"Gilbert",7,"Long"
"Gene",4,"Short"
"Marc",4,"Short"
"Reginald",8,"Long"
"Ruben",5,"Long"
"Brett",5,"Long"
"Angel",5,"Long"
"Nathaniel",9,"Long"
"Rafael",6,"Long"
"Leslie",6,"Long"
"Edgar",5,"Long"
"Milton",6,"Long"
"Raul",4,"Short"
"Ben",3,"Short"
"Chester",7,"Long"
"Cecil",5,"Long"
"Duane",5,"Long"
"Franklin",8,"Long"
"Andre",5,"Long"
"Elmer",5,"Long"
"Brad",4,"Short"
"Gabriel",7,"Long"
"Ron",3,"Short"
"Mitchell",8,"Long"
"Roland",6,"Long"
"Arnold",6,"Long"
"Harvey",6,"Long"
"Adrian",6,"Long"
"Karl",4,"Short"
"Cory",4,"Short"
"Claude",6,"Long"
"Erik",4,"Short"
"Darryl",6,"Long"
"Jamie",5,"Long"
"Neil",4,"Short"
"Jessie",6,"Long"
"Christian",9,"Long"
"Javier",6,"Long"
"Fernando",8,"Long"
"Clinton",7,"Long"
"Ted",3,"Short"
"Mathew",6,"Long"
"Tyrone",6,"Long"
"Darren",6,"Long"
"Lonnie",6,"Long"
"Lance",5,"Long"
"Cody",4,"Short"
"Julio",5,"Long"
"Kelly",5,"Long"
"Kurt",4,"Short"
"Allan",5,"Long"
"Nelson",6,"Long"
"Guy",3,"Short"
"Clayton",7,"Long"
"Hugh",4,"Short"
"Max",3,"Short"
"Dwayne",6,"Long"
"Dwight",6,"Long"
"Armando",7,"Long"
"Felix",5,"Long"
"Jimmie",6,"Long"
"Everett",7,"Long"
"Jordan",6,"Long"
"Ian",3,"Short"
"Wallace",7,"Long"
"Ken",3,"Short"
"Bob",3,"Short"
"Jaime",5,"Long"
"Casey",5,"Long"
"Alfredo",7,"Long"
"Alberto",7,"Long"
"Dave",4,"Short"
"Ivan",4,"Short"
"Johnnie",7,"Long"
"Sidney",6,"Long"
"Byron",5,"Long"
"Julian",6,"Long"
"Isaac",5,"Long"
"Morris",6,"Long"
"Clifton",7,"Long"
"Willard",7,"Long"
"Daryl",5,"Long"
"Ross",4,"Short"
"Virgil",6,"Long"
"Andy",4,"Short"
"Marshall",8,"Long"
"Salvador",8,"Long"
"Perry",5,"Long"
"Kirk",4,"Short"
"Sergio",6,"Long"
"Marion",6,"Long"
"Tracy",5,"Long"
"Seth",4,"Short"
"Kent",4,"Short"
"Terrance",8,"Long"
"Rene",4,"Short"
"Eduardo",7,"Long"
"Terrence",8,"Long"
"Enrique",7,"Long"
"Freddie",7,"Long"
"Wade",4,"Short"
"Austin",6,"Long"
