"film_id","title","description","release_year","language_id","rental_duration","rental_rate","length","replacement_cost","rating","last_update","special_features","fulltext"
293,"Exorcist Sting","A Touching Drama of a Dog And a Sumo Wrestler who must Conquer a Mad Scientist in Berlin",2006,1,6,"2.99",167,"17.99","G","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'berlin':20 'conquer':15 'dog':8 'drama':5 'exorcist':1 'mad':17 'must':14 'scientist':18 'sting':2 'sumo':11 'touch':4 'wrestler':12"
297,"Extraordinary Conquerer","A Stunning Story of a Dog And a Feminist who must Face a Forensic Psychologist in Berlin",2006,1,6,"2.99",122,"29.99","G","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'berlin':19 'conquer':2 'dog':8 'extraordinari':1 'face':14 'feminist':11 'forens':16 'must':13 'psychologist':17 'stori':5 'stun':4"
306,"Feathers Metal","A Thoughtful Yarn of a Monkey And a Teacher who must Find a Dog in Australia",2006,1,3,"0.99",104,"12.99","PG-13","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'australia':18 'dog':16 'feather':1 'find':14 'metal':2 'monkey':8 'must':13 'teacher':11 'thought':4 'yarn':5"
312,"Fiddler Lost","A Boring Tale of a Squirrel And a Dog who must Challenge a Madman in The Gulf of Mexico",2006,1,4,"4.99",75,"20.99","R","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'bore':4 'challeng':14 'dog':11 'fiddler':1 'gulf':19 'lost':2 'madman':16 'mexico':21 'must':13 'squirrel':8 'tale':5"
316,"Fire Wolves","A Intrepid Documentary of a Frisbee And a Dog who must Outrace a Lumberjack in Nigeria",2006,1,5,"4.99",173,"18.99","R","2013-05-26 14:50:58.951","{Trailers}","'documentari':5 'dog':11 'fire':1 'frisbe':8 'intrepid':4 'lumberjack':16 'must':13 'nigeria':18 'outrac':14 'wolv':2"
326,"Flying Hook","A Thrilling Display of a Mad Cow And a Dog who must Challenge a Frisbee in Nigeria",2006,1,6,"2.99",69,"18.99","NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'challeng':15 'cow':9 'display':5 'dog':12 'fli':1 'frisbe':17 'hook':2 'mad':8 'must':14 'nigeria':19 'thrill':4"
336,"French Holiday","A Thrilling Epistle of a Dog And a Feminist who must Kill a Madman in Berlin",2006,1,5,"4.99",99,"22.99","PG","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'berlin':18 'dog':8 'epistl':5 'feminist':11 'french':1 'holiday':2 'kill':14 'madman':16 'must':13 'thrill':4"
355,"Ghostbusters Elf","A Thoughtful Epistle of a Dog And a Feminist who must Chase a Composer in Berlin",2006,1,7,"0.99",101,"18.99","R","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'berlin':18 'chase':14 'compos':16 'dog':8 'elf':2 'epistl':5 'feminist':11 'ghostbust':1 'must':13 'thought':4"
360,"Glass Dying","A Astounding Drama of a Frisbee And a Astronaut who must Fight a Dog in Ancient Japan",2006,1,4,"0.99",103,"24.99","G","2013-05-26 14:50:58.951","{Trailers}","'ancient':18 'astound':4 'astronaut':11 'die':2 'dog':16 'drama':5 'fight':14 'frisbe':8 'glass':1 'japan':19 'must':13"
369,"Goodfellas Salute","A Unbelieveable Tale of a Dog And a Explorer who must Sink a Mad Cow in A Baloon Factory",2006,1,4,"4.99",56,"22.99","PG","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'baloon':20 'cow':17 'dog':8 'explor':11 'factori':21 'goodfella':1 'mad':16 'must':13 'salut':2 'sink':14 'tale':5 'unbeliev':4"
403,"Harry Idaho","A Taut Yarn of a Technical Writer And a Feminist who must Outrace a Dog in California",2006,1,5,"4.99",121,"18.99","PG-13","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'california':19 'dog':17 'feminist':12 'harri':1 'idaho':2 'must':14 'outrac':15 'taut':4 'technic':8 'writer':9 'yarn':5"
408,"Head Stranger","A Thoughtful Saga of a Hunter And a Crocodile who must Confront a Dog in The Gulf of Mexico",2006,1,4,"4.99",69,"28.99","R","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'confront':14 'crocodil':11 'dog':16 'gulf':19 'head':1 'hunter':8 'mexico':21 'must':13 'saga':5 'stranger':2 'thought':4"
412,"Heavyweights Beast","A Unbelieveable Story of a Composer And a Dog who must Overcome a Womanizer in An Abandoned Amusement Park",2006,1,6,"4.99",102,"25.99","G","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'abandon':19 'amus':20 'beast':2 'compos':8 'dog':11 'heavyweight':1 'must':13 'overcom':14 'park':21 'stori':5 'unbeliev':4 'woman':16"
416,"Highball Potter","A Action-Packed Saga of a Husband And a Dog who must Redeem a Database Administrator in The Sahara Desert",2006,1,6,"0.99",110,"10.99","R","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'action':5 'action-pack':4 'administr':19 'databas':18 'desert':23 'dog':13 'highbal':1 'husband':10 'must':15 'pack':6 'potter':2 'redeem':16 'saga':7 'sahara':22"
423,"Hollywood Anonymous","A Fast-Paced Epistle of a Boy And a Explorer who must Escape a Dog in A U-Boat",2006,1,7,"0.99",69,"29.99","PG","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'anonym':2 'boat':23 'boy':10 'dog':18 'epistl':7 'escap':16 'explor':13 'fast':5 'fast-pac':4 'hollywood':1 'must':15 'pace':6 'u':22 'u-boat':21"
425,"Holy Tadpole","A Action-Packed Display of a Feminist And a Pioneer who must Pursue a Dog in A Baloon Factory",2006,1,6,"0.99",88,"20.99","R","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'action':5 'action-pack':4 'baloon':21 'display':7 'dog':18 'factori':22 'feminist':10 'holi':1 'must':15 'pack':6 'pioneer':13 'pursu':16 'tadpol':2"
430,"Hook Chariots","A Insightful Story of a Boy And a Dog who must Redeem a Boy in Australia",2006,1,7,"0.99",49,"23.99","G","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'australia':18 'boy':8,16 'chariot':2 'dog':11 'hook':1 'insight':4 'must':13 'redeem':14 'stori':5"
451,"Igby Maker","A Epic Documentary of a Hunter And a Dog who must Outgun a Dog in A Baloon Factory",2006,1,7,"4.99",160,"12.99","NC-17","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'baloon':19 'documentari':5 'dog':11,16 'epic':4 'factori':20 'hunter':8 'igbi':1 'maker':2 'must':13 'outgun':14"
461,"Insects Stone","A Epic Display of a Butler And a Dog who must Vanquish a Crocodile in A Manhattan Penthouse",2006,1,3,"0.99",123,"14.99","NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'butler':8 'crocodil':16 'display':5 'dog':11 'epic':4 'insect':1 'manhattan':19 'must':13 'penthous':20 'stone':2 'vanquish':14"
470,"Ishtar Rocketeer","A Astounding Saga of a Dog And a Squirrel who must Conquer a Dog in An Abandoned Fun House",2006,1,4,"4.99",79,"24.99","R","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'abandon':19 'astound':4 'conquer':14 'dog':8,16 'fun':20 'hous':21 'ishtar':1 'must':13 'rocket':2 'saga':5 'squirrel':11"
476,"Jason Trap","A Thoughtful Tale of a Woman And a A Shark who must Conquer a Dog in A Monastery",2006,1,5,"2.99",130,"9.99","NC-17","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'conquer':15 'dog':17 'jason':1 'monasteri':20 'must':14 'shark':12 'tale':5 'thought':4 'trap':2 'woman':8"
478,"Jaws Harry","A Thrilling Display of a Database Administrator And a Monkey who must Overcome a Dog in An Abandoned Fun House",2006,1,4,"2.99",112,"10.99","G","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'abandon':20 'administr':9 'databas':8 'display':5 'dog':17 'fun':21 'harri':2 'hous':22 'jaw':1 'monkey':12 'must':14 'overcom':15 'thrill':4"
